Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"511471134","South Perth - Kensington",658,
"511471136","South Perth - Kensington",1009,
"511471139","South Perth - Kensington",411,
"511471146","South Perth - Kensington",218,
"511471150","South Perth - Kensington",1550,
"511479999","South Perth - Kensington",183,
"511481771","Banjup",1208,
"511491789","Beeliar",524,
"511501769","Bibra Industrial",2913,
"511501778","Bibra Industrial",2799,
"511501781","Bibra Industrial",1497,
"511509999","Bibra Industrial",10,
"511511758","Bibra Lake",11,
"511521780","Coogee",961,
"511531760","Coolbellup",525,
"511541761","Hamilton Hill",708,
"511541764","Hamilton Hill",737,
"511549999","Hamilton Hill",49,
"511551795","Henderson",4396,
"511561767","Jandakot",1013,
"511561782","Jandakot",1868,
"511569999","Jandakot",31,
"511571759","Jandakot Airport",1149,
"511581763","North Coogee",308,
"511591762","South Lake - Cockburn Central",368,
"511591775","South Lake - Cockburn Central",1030,
"511591784","South Lake - Cockburn Central",1413,
"511599999","South Lake - Cockburn Central",92,
"511601774","Spearwood",1402,
"511601777","Spearwood",593,
"511609999","Spearwood",28,
"511611790","Success - Hammond Park",1821,
"511621794","Wattleup",418,
"511631779","Yangebup",440,
"511631785","Yangebup",327,
"511639999","Yangebup",21,
"511641171","East Fremantle",1074,
"511641172","East Fremantle",581,
"511641173","East Fremantle",278,
"511649999","East Fremantle",81,
"511651169","Fremantle",1083,
"511651170","Fremantle",1419,
"511651174","Fremantle",388,
"511651175","Fremantle",464,
"511651176","Fremantle",564,
"511651177","Fremantle",625,
"511651178","Fremantle",1315,
"511651179","Fremantle",576,
"511651180","Fremantle",705,
"511651181","Fremantle",1341,
"511651182","Fremantle",584,
"511651183","Fremantle",883,
"511651185","Fremantle",524,
"511651186","Fremantle",464,
"511651187","Fremantle",639,
"511651188","Fremantle",3257,
"511651190","Fremantle",236,
"511651191","Fremantle",224,
"511651192","Fremantle",698,
"511651194","Fremantle",264,
"511651603","Fremantle",203,
"511659999","Fremantle",1106,
"511661193","Fremantle - South",1238,
"511661195","Fremantle - South",646,
"511661196","Fremantle - South",738,
"511661197","Fremantle - South",363,
"511661198","Fremantle - South",800,
"511669999","Fremantle - South",38,
"511671184","O'Connor (WA)",2361,
"511671189","O'Connor (WA)",1712,
"511679999","O'Connor (WA)",20,
"511681824","Anketell - Wandi",281,
"511691808","Bertram - Wellard (West)",528,
"511701806","Calista",652,
"511701814","Calista",217,
"511711805","Casuarina - Wellard (East)",665,
"511721802","Hope Valley - Postans",167,
"511731803","Kwinana Industrial",2901,
"511731804","Kwinana Industrial",4318,
"511741807","Parmelia - Orelia",933,
"511741809","Parmelia - Orelia",480,
"511749999","Parmelia - Orelia",9,
"511751424","Applecross - Ardross",1793,
"511751426","Applecross - Ardross",621,
"511751434","Applecross - Ardross",1440,
"511759999","Applecross - Ardross",78,
"511761454","Bateman",480,
"511771430","Bicton - Palmyra",1135,
"511771445","Bicton - Palmyra",949,
"511771457","Bicton - Palmyra",947,
"511779999","Bicton - Palmyra",51,
"511781429","Booragoon",1086,
"511781441","Booragoon",612,
"511781442","Booragoon",3132,
"511781444","Booragoon",343,
"511781446","Booragoon",1133,
"511789999","Booragoon",57,
"511791452","Bull Creek",644,
"511791460","Bull Creek",1035,
"511799999","Bull Creek",31,
"511801467","Leeming",249,
"511801468","Leeming",1154,
"511809999","Leeming",40,
"511811432","Melville",652,
"511811438","Melville",354,
"511811440","Melville",631,
"511811443","Melville",1335,
"511811447","Melville",2109,
"511811451","Melville",1143,
"511819999","Melville",286,
"511821461","Murdoch - Kardinya",910,
"511821462","Murdoch - Kardinya",645,
"511821465","Murdoch - Kardinya",2275,
"511821466","Murdoch - Kardinya",3298,
"511829999","Murdoch - Kardinya",98,
"511831455","Willagee",535,
"511841453","Winthrop",614,
"511851819","Baldivis",2068,
"511851838","Baldivis",161,
"511861823","Cooloongup",1691,
"511871836","Port Kennedy",1004,
"511871837","Port Kennedy",1179,
"511879999","Port Kennedy",67,
"511881799","Rockingham",2309,
"511881815","Rockingham",2896,
"511881816","Rockingham",585,
"511881817","Rockingham",578,
"511881818","Rockingham",567,
"511881820","Rockingham",763,
"511881821","Rockingham",756,
"511881825","Rockingham",2301,
"511881826","Rockingham",1140,
"511889999","Rockingham",86,
"511891822","Rockingham Lakes",29,
"511901828","Safety Bay - Shoalwater",715,
"511901830","Safety Bay - Shoalwater",514,
"511909999","Safety Bay - Shoalwater",46,
"511911839","Singleton - Golden Bay - Secret Harbour",1598,
"511921831","Waikiki",743,
"511921833","Waikiki",321,
"511929999","Waikiki",47,
"511931834","Warnbro",712,
"511931835","Warnbro",799,
"511939999","Warnbro",123,
"511946031","Esperance",4714,
"511956030","Esperance Region",770,
"511956080","Esperance Region",1235,
"511959999","Esperance Region",3,
"511967021","Carnarvon",2004,
"511977020","Exmouth",302,
"511977060","Exmouth",1166,
"511977200","Exmouth",426,
"511977220","Exmouth",76,
"511979999","Exmouth",99,
"511986043","Boulder",1780,
"511996041","Kalgoorlie",8577,
"512006045","Kalgoorlie - North",1082,
"512016044","Kalgoorlie Airport",37,
"512026010","Kambalda - Coolgardie - Norseman",2368,
"512026020","Kambalda - Coolgardie - Norseman",559,
"512026040","Kambalda - Coolgardie - Norseman",1129,
"512029999","Kambalda - Coolgardie - Norseman",23,
"512036050","Leinster - Leonora",1899,
"512036060","Leinster - Leonora",3518,
"512036070","Leinster - Leonora",157,
"512037160","Leinster - Leonora",480,
"512039999","Leinster - Leonora",89,
"512046042","Trafalgar (WA)",773,
"512058901","Broome",2979,
"512058902","Broome",492,
"512058903","Broome",399,
"512058904","Broome",1070,
"512058905","Broome",371,
"512058906","Broome",167,
"512059999","Broome",332,
"512068910","Derby - West Kimberley",1855,
"512068911","Derby - West Kimberley",1354,
"512069999","Derby - West Kimberley",7,
"512078930","Halls Creek",1304,
"512088920","Kununurra",1621,
"512088921","Kununurra",2195,
"512088922","Kununurra",315,
"512089999","Kununurra",81,
"512098900","Roebuck",585,
"512107070","Geraldton",2687,
"512107071","Geraldton",582,
"512107072","Geraldton",1755,
"512107073","Geraldton",802,
"512107075","Geraldton",2656,
"512107076","Geraldton",587,
"512107078","Geraldton",790,
"512109999","Geraldton",483,
"512117079","Geraldton - East",406,
"512117083","Geraldton - East",184,
"512117084","Geraldton - East",210,
"512117086","Geraldton - East",1193,
"512119999","Geraldton - East",12,
"512127082","Geraldton - North",556,
"512137077","Geraldton - South",183,
"512137081","Geraldton - South",410,
"512139999","Geraldton - South",45,
"512147090","Irwin",1050,
"512157050","Meekatharra",148,
"512157100","Meekatharra",1120,
"512157130","Meekatharra",393,
"512157150","Meekatharra",49,
"512157190","Meekatharra",57,
"512157230","Meekatharra",1217,
"512157240","Meekatharra",595,
"512159999","Meekatharra",4,
"512167010","Morawa",323,
"512167040","Morawa",341,
"512167110","Morawa",217,
"512167120","Morawa",496,
"512167180","Morawa",662,
"512167210","Morawa",324,
"512169999","Morawa",4,
"512177030","Northampton - Mullewa - Greenough",230,
"512177074","Northampton - Mullewa - Greenough",3,
"512177085","Northampton - Mullewa - Greenough",396,
"512177140","Northampton - Mullewa - Greenough",520,
"512177170","Northampton - Mullewa - Greenough",1068,
"512179999","Northampton - Mullewa - Greenough",6,
"512188010","Ashburton (WA)",8780,
"512188011","Ashburton (WA)",2039,
"512189999","Ashburton (WA)",7,
"512198020","East Pilbara",9874,
"512198040","East Pilbara",457,
"512208051","Karratha",7576,
"512218021","Newman",1477,
"512228041","Port Hedland",5882,
"512238050","Roebourne",6018,
"512238052","Roebourne",1876,
"512239999","Roebourne",4,
"512248042","South Hedland",2321,
"512253011","Albany",3102,
"512253012","Albany",81,
"512253013","Albany",2356,
"512253015","Albany",2791,
"512259999","Albany",275,
"512263010","Albany Region",951,
"512273017","Bayonet Head - Lower King",358,
"512283040","Denmark",1666,
"512293050","Gnowangerup",625,
"512293060","Gnowangerup",507,
"512293080","Gnowangerup",263,
"512303070","Katanning",323,
"512303071","Katanning",1242,
"512303120","Katanning",162,
"512309999","Katanning",126,
"512313030","Kojonup",454,
"512313090","Kojonup",869,
"512313110","Kojonup",209,
"512313130","Kojonup",148,
"512319999","Kojonup",12,
"512323016","Little Grove - Elleker",466,
"512323018","Little Grove - Elleker",143,
"512333014","McKail - Willyung",245,
"512333019","McKail - Willyung",523,
"512333020","McKail - Willyung",1139,
"512333021","McKail - Willyung",263,
"512339999","McKail - Willyung",15,
"512343100","Plantagenet",2023,
"512365030","Chittering",1205,
"512375040","Cunderdin",543,
"512375100","Cunderdin",398,
"512375200","Cunderdin",360,
"512375210","Cunderdin",168,
"512385070","Dowerin",282,
"512385090","Dowerin",356,
"512385110","Dowerin",166,
"512385260","Dowerin",685,
"512385270","Dowerin",199,
"512389999","Dowerin",3,
"512395060","Gingin - Dandaragan",1317,
"512395080","Gingin - Dandaragan",1477,
"512399999","Gingin - Dandaragan",3,
"512405020","Merredin",380,
"512405120","Merredin",1505,
"512405160","Merredin",400,
"512409999","Merredin",3,
"512415050","Moora",719,
"512415130","Moora",1159,
"512415240","Moora",437,
"512419999","Moora",22,
"512425140","Mukinbudin",247,
"512425150","Mukinbudin",262,
"512425190","Mukinbudin",79,
"512425230","Mukinbudin",150,
"512425250","Mukinbudin",224,
"512425280","Mukinbudin",1438,
"512435170","Northam",682,
"512435180","Northam",3302,
"512439999","Northam",25,
"512445220","Toodyay",785,
"512455010","York - Beverley",449,
"512455290","York - Beverley",988,
"512459999","York - Beverley",4,
"512464020","Brookton",423,
"512464030","Brookton",505,
"512464110","Brookton",341,
"512464130","Brookton",144,
"512469999","Brookton",3,
"512474050","Kulin",291,
"512474060","Kulin",751,
"512474070","Kulin",384,
"512474080","Kulin",766,
"512474150","Kulin",296,
"512482020","Murray",2540,
"512482170","Murray",547,
"512482176","Murray",113,
"512489999","Murray",3,
"512494091","Narrogin",177,
"512494100","Narrogin",1976,
"512499999","Narrogin",35,
"512504040","Wagin",224,
"512504090","Wagin",90,
"512504120","Wagin",614,
"512504140","Wagin",400,
"512504160","Wagin",402,
"512509999","Wagin",43,
"590999099","POW Capital city undefined (Greater Perth)",6713,
"597999799","Migratory - Offshore - Shipping (WA)",1336,
"598999899","POW State/Territory undefined (WA)",53222,
"594999499","POW No Fixed Address (WA)",45452,
"610011011","Bridgewater - Gagebrook",370,
"610011012","Bridgewater - Gagebrook",739,
"610011013","Bridgewater - Gagebrook",141,
"610019999","Bridgewater - Gagebrook",109,
"610021015","Brighton - Pontville",755,
"610031096","Old Beach - Otago",246,
"610041006","Bellerive - Rosny",495,
"610041007","Bellerive - Rosny",2674,
"610041008","Bellerive - Rosny",505,
"610049999","Bellerive - Rosny",78,
"610051025","Cambridge",1916,
"610051027","Cambridge",769,
"610051028","Cambridge",265,
"610059999","Cambridge",129,
"610061047","Geilston Bay - Risdon",241,
"610071060","Howrah - Tranmere",1031,
"610081077","Lindisfarne - Rose Bay",1280,
"610091084","Mornington - Warrane",2159,
"610101105","Risdon Vale",443,
"610111107","Rokeby",632,
"610121122","South Arm",336,
"610131002","Austins Ferry - Granton",475,
"610141009","Berriedale - Chigwell",516,
"610151030","Claremont (Tas.)",1649,
"610161035","Derwent Park - Lutana",1196,
"610161036","Derwent Park - Lutana",1206,
"610161037","Derwent Park - Lutana",2183,
"610169999","Derwent Park - Lutana",28,
"610171051","Glenorchy",2881,
"610171052","Glenorchy",1266,
"610179999","Glenorchy",371,
"610181082","Montrose - Rosetta",685,
"610191083","Moonah",4726,
"610201088","New Norfolk",932,
"610201089","New Norfolk",614,
"610211142","West Moonah",195,
"610221067","Kingston - Huntingfield",2516,
"610221068","Kingston - Huntingfield",190,
"610221069","Kingston - Huntingfield",1748,
"610229999","Kingston - Huntingfield",24,
"610231066","Kingston Beach - Blackmans Bay",1100,
"610241079","Margate - Snug",775,
"610241080","Margate - Snug",247,
"610249999","Margate - Snug",67,
"610261130","Taroona - Bonnet Hill",562,
"610271055","Hobart",20721,
"610271056","Hobart",5663,
"610271057","Hobart",1890,
"610271058","Hobart",1176,
"610271059","Hobart",4854,
"610279999","Hobart",128,
"610281076","Lenah Valley - Mount Stuart",1391,
"610291086","Mount Nelson - Dynnyrne",544,
"610301090","New Town",3350,
"610311109","Sandy Bay",850,
"610311110","Sandy Bay",3961,
"610319999","Sandy Bay",256,
"610321123","South Hobart - Fern Tree",1307,
"610331140","West Hobart",588,
"610341042","Dodges Ferry - Lewisham",225,
"610341043","Dodges Ferry - Lewisham",413,
"610349999","Dodges Ferry - Lewisham",3,
"610351118","Sorell - Richmond",1258,
"610351119","Sorell - Richmond",318,
"610351120","Sorell - Richmond",458,
"610359999","Sorell - Richmond",50,
"610361063","Invermay",3030,
"610371065","Kings Meadows - Punchbowl",3147,
"610381071","Launceston",6076,
"610381072","Launceston",1316,
"610381073","Launceston",3961,
"610381074","Launceston",2192,
"610391075","Legana",716,
"610401085","Mowbray",1424,
"610411091","Newnham - Mayfield",2559,
"610421092","Newstead",1529,
"610431095","Norwood (Tas.)",593,
"610441102","Prospect Vale - Blackstone",1440,
"610451104","Ravenswood",340,
"610461106","Riverside",1301,
"610471125","South Launceston",1898,
"610481129","Summerhill - Prospect",1145,
"610491131","Trevallyn",365,
"610501137","Waverley - St Leonards",740,
"610511141","West Launceston",323,
"610521148","Youngtown - Relbia",1144,
"610531004","Beauty Point - Beaconsfield",258,
"610531005","Beauty Point - Beaconsfield",603,
"610539999","Beauty Point - Beaconsfield",33,
"610541033","Deloraine",1027,
"610541034","Deloraine",867,
"610549999","Deloraine",51,
"610551053","Grindelwald - Lanena",950,
"610561054","Hadspen - Carrick",282,
"610571144","Westbury",1039,
"610581041","Dilston - Lilydale",498,
"610591048","George Town",1017,
"610591049","George Town",251,
"610591050","George Town",1363,
"610599999","George Town",92,
"610601078","Longford",1328,
"610611093","Northern Midlands",1195,
"610621099","Perth - Evandale",1108,
"610621100","Perth - Evandale",398,
"610629999","Perth - Evandale",19,
"610631111","Scottsdale - Bridport",1105,
"610631112","Scottsdale - Bridport",360,
"610631113","Scottsdale - Bridport",867,
"610631114","Scottsdale - Bridport",235,
"610639999","Scottsdale - Bridport",60,
"610641127","St Helens - Scamander",891,
"610641128","St Helens - Scamander",752,
"610649999","St Helens - Scamander",63,
"610651029","Central Highlands",585,
"610661038","Derwent Valley",345,
"610671126","Southern Midlands",996,
"610681145","Wilderness - East",9,
"610691017","Bruny Island - Kettering",327,
"610691018","Bruny Island - Kettering",193,
"610699999","Bruny Island - Kettering",10,
"610701032","Cygnet",638,
"610711046","Geeveston - Dover",955,
"610721061","Huonville - Franklin",1151,
"610721062","Huonville - Franklin",968,
"610729999","Huonville - Franklin",59,
"610731045","Forestier - Tasman",652,
"610741132","Triabunna - Bicheno",459,
"610741133","Triabunna - Bicheno",916,
"610751001","Acton - Upper Burnie",858,
"610761019","Burnie - Ulverstone Region",358,
"610761020","Burnie - Ulverstone Region",420,
"610769999","Burnie - Ulverstone Region",3,
"610771021","Burnie - Wivenhoe",276,
"610771022","Burnie - Wivenhoe",937,
"610771023","Burnie - Wivenhoe",2839,
"610771024","Burnie - Wivenhoe",1172,
"610779999","Burnie - Wivenhoe",43,
"610781097","Parklands - Camdale",2832,
"610791098","Penguin - Sulphur Creek",779,
"610801108","Romaine - Havenview",561,
"610811117","Somerset",901,
"610821135","Ulverstone",3053,
"610831143","West Ulverstone",536,
"610841147","Wynyard",1662,
"610851039","Devonport",3390,
"610851040","Devonport",3373,
"610861044","East Devonport",1628,
"610871070","Latrobe",1900,
"610881081","Miandetta - Don",789,
"610891101","Port Sorell",867,
"610901103","Quoiba - Spreyton",1740,
"610911115","Sheffield - Railton",1301,
"610921134","Turners Beach - Forth",749,
"610931064","King Island",708,
"610941094","North West",1178,
"610951116","Smithton",2142,
"610961136","Waratah",873,
"610971138","West Coast (Tas.)",1567,
"610971139","West Coast (Tas.)",683,
"610979999","West Coast (Tas.)",40,
"690999099","POW Capital city undefined (Greater Hobart)",1426,
"697999799","Migratory - Offshore - Shipping (Tas.)",110,
"698999899","POW State/Territory undefined (Tas.)",11219,
"694999499","POW No Fixed Address (Tas.)",7551,
"710011290","Darwin Airport",1785,
"710021037","Darwin City",909,
"710021124","Darwin City",546,
"710021194","Darwin City",5016,
"710021283","Darwin City",1036,
"710021302","Darwin City",3599,
"710021388","Darwin City",268,
"710029999","Darwin City",150,
"710031393","East Point",10,
"710041115","Fannie Bay - The Gardens",229,
"710041204","Fannie Bay - The Gardens",423,
"710041229","Fannie Bay - The Gardens",607,
"710041365","Fannie Bay - The Gardens",267,
"710049999","Fannie Bay - The Gardens",8,
"710051173","Larrakeyah",600,
"710051190","Larrakeyah",120,
"710051315","Larrakeyah",446,
"710059999","Larrakeyah",47,
"710061161","Ludmilla - The Narrows",226,
"710061284","Ludmilla - The Narrows",333,
"710071232","Parap",723,
"710071352","Parap",189,
"710079999","Parap",33,
"710081011","Stuart Park",269,
"710081085","Stuart Park",519,
"710081206","Stuart Park",126,
"710089999","Stuart Park",118,
"710091040","Woolner - Bayview - Winnellie",1686,
"710091077","Woolner - Bayview - Winnellie",1342,
"710091308","Woolner - Bayview - Winnellie",2237,
"710099999","Woolner - Bayview - Winnellie",520,
"710101386","Alawa",123,
"710111199","Anula",155,
"710121048","Berrimah",349,
"710121116","Berrimah",2822,
"710121154","Berrimah",672,
"710121909","Berrimah",333,
"710129999","Berrimah",353,
"710131033","Brinkin - Nakara",927,
"710131187","Brinkin - Nakara",2314,
"710131279","Brinkin - Nakara",253,
"710131396","Brinkin - Nakara",395,
"710139999","Brinkin - Nakara",239,
"710141109","Buffalo Creek",3,
"710151198","Charles Darwin",22,
"710161297","Coconut Grove",158,
"710161312","Coconut Grove",548,
"710169999","Coconut Grove",25,
"710171189","East Arm",1105,
"710171908","East Arm",7,
"710181008","Jingili",187,
"710191101","Karama",442,
"710201023","Leanyer",474,
"710211034","Lyons (NT)",103,
"710221175","Malak - Marrara",347,
"710221338","Malak - Marrara",306,
"710221342","Malak - Marrara",329,
"710229999","Malak - Marrara",80,
"710231066","Millner",433,
"710241186","Moil",269,
"710251047","Nightcliff",763,
"710261062","Rapid Creek",482,
"710271010","Tiwi",2723,
"710271254","Tiwi",416,
"710279999","Tiwi",44,
"710281316","Wagaman",178,
"710291083","Wanguri",248,
"710301088","Wulagi",143,
"710311110","Howard Springs",416,
"710311162","Howard Springs",204,
"710311182","Howard Springs",2968,
"710319999","Howard Springs",18,
"710321286","Humpty Doo",260,
"710321336","Humpty Doo",937,
"710331209","Koolpinyah",73,
"710341328","Virginia",633,
"710351093","Weddell",104,
"710351169","Weddell",411,
"710351224","Weddell",178,
"710351239","Weddell",106,
"710351912","Weddell",19,
"710361069","Bakewell",176,
"710371255","Driver",384,
"710381280","Durack - Marlow Lagoon",763,
"710381324","Durack - Marlow Lagoon",247,
"710381904","Durack - Marlow Lagoon",18,
"710381906","Durack - Marlow Lagoon",102,
"710389999","Durack - Marlow Lagoon",11,
"710391334","Gray",248,
"710401211","Moulden",223,
"710411005","Palmerston - North",877,
"710411052","Palmerston - North",268,
"710411125","Palmerston - North",96,
"710411902","Palmerston - North",1491,
"710419999","Palmerston - North",237,
"710421072","Palmerston - South",22,
"710431240","Rosebery - Bellamack",261,
"710441022","Woodroffe",507,
"710451272","Charles",3280,
"710451289","Charles",305,
"710451374","Charles",2760,
"710451915","Charles",489,
"710459999","Charles",8,
"710461007","East Side",509,
"710461273","East Side",279,
"710471392","Flynn (NT)",579,
"710481263","Larapinta",352,
"710491120","Mount Johns",351,
"710491213","Mount Johns",1579,
"710501309","Petermann - Simpson",546,
"710501345","Petermann - Simpson",402,
"710509999","Petermann - Simpson",6,
"710511128","Ross",216,
"710511215","Ross",96,
"710511223","Ross",190,
"710511299","Ross",211,
"710511901","Ross",65,
"710521065","Sandover - Plenty",126,
"710521090","Sandover - Plenty",66,
"710521095","Sandover - Plenty",1059,
"710521391","Sandover - Plenty",5,
"710531073","Tanami",13,
"710531181","Tanami",1051,
"710531291","Tanami",32,
"710541081","Yuendumu - Anmatjere",111,
"710541086","Yuendumu - Anmatjere",117,
"710541139","Yuendumu - Anmatjere",8,
"710541185","Yuendumu - Anmatjere",11,
"710541221","Yuendumu - Anmatjere",153,
"710541363","Yuendumu - Anmatjere",68,
"710551133","Barkly",7,
"710551228","Barkly",80,
"710551249","Barkly",243,
"710551261","Barkly",86,
"710551337","Barkly",299,
"710561230","Tennant Creek",1116,
"710571035","Alligator",51,
"710571285","Alligator",772,
"710571323","Alligator",589,
"710571339","Alligator",448,
"710571395","Alligator",47,
"710579999","Alligator",3,
"710581122","Daly",109,
"710581371","Daly",219,
"710581378","Daly",534,
"710591197","Thamarrurr",476,
"710601318","Tiwi Islands",769,
"710611032","West Arnhem",81,
"710611219","West Arnhem",119,
"710611268","West Arnhem",859,
"710611343","West Arnhem",295,
"710621044","Anindilyakwa",294,
"710621329","Anindilyakwa",1051,
"710631226","East Arnhem",52,
"710631346","East Arnhem",2589,
"710641160","Nhulunbuy",1251,
"710651051","Elsey",60,
"710651131","Elsey",198,
"710651202","Elsey",119,
"710651370","Elsey",169,
"710661039","Gulf",142,
"710661118","Gulf",441,
"710661147","Gulf",341,
"710661306","Gulf",386,
"710671078","Katherine",635,
"710671097","Katherine",2436,
"710671214","Katherine",11,
"710671394","Katherine",678,
"710679999","Katherine",277,
"710681003","Victoria River",134,
"710681016","Victoria River",437,
"710681167","Victoria River",72,
"710681217","Victoria River",19,
"710681319","Victoria River",95,
"710681349","Victoria River",7,
"790999099","POW Capital city undefined (Greater Darwin)",1261,
"797999799","Migratory - Offshore - Shipping (NT)",128,
"798999899","POW State/Territory undefined (NT)",5716,
"794999499","POW No Fixed Address (NT)",2803,
"810011001","Aranda",282,
"810021002","Belconnen",23,
"810021003","Belconnen",150,
"810021004","Belconnen",9876,
"810021005","Belconnen",2403,
"810029999","Belconnen",41,
"810031006","Bruce",161,
"810031007","Bruce",1637,
"810031008","Bruce",1042,
"810031037","Bruce",1358,
"810031038","Bruce",1069,
"810039999","Bruce",76,
"810041009","Charnwood",330,
"810041010","Charnwood",183,
"810049999","Charnwood",9,
"810051011","Cook",140,
"810061012","Dunlop",169,
"810071013","Evatt",367,
"810081014","Florey",507,
"810091015","Flynn (ACT)",120,
"810101016","Fraser",163,
"810111017","Giralang",126,
"810131018","Hawker",268,
"810131019","Hawker",319,
"810139999","Hawker",9,
"810141020","Higgins",157,
"810151021","Holt",148,
"810151022","Holt",770,
"810159999","Holt",48,
"810161023","Kaleen",535,
"810161024","Kaleen",188,
"810169999","Kaleen",14,
"810171025","Latham",178,
"810191027","Macgregor (ACT)",276,
"810201028","Macquarie",186,
"810201029","Macquarie",617,
"810209999","Macquarie",6,
"810211030","McKellar",151,
"810221031","Melba",330,
"810231032","Page",327,
"810241033","Scullin",189,
"810251034","Spence",227,
"810261035","Weetangera",175,
"810271271","ACT - South West",581,
"810271342","ACT - South West",315,
"810279999","ACT - South West",32,
"810281041","Molonglo",159,
"810281161","Molonglo",135,
"810291513","Namadgi",6,
"810301124","ACT - East",2037,
"810301125","ACT - East",5552,
"810301126","ACT - East",963,
"810301167","ACT - East",1969,
"810301168","ACT - East",549,
"810301503","ACT - East",386,
"810301504","ACT - East",22,
"810301505","ACT - East",1415,
"810301506","ACT - East",58,
"810301508","ACT - East",1147,
"810309999","ACT - East",430,
"810311501","Hume",1025,
"810311515","Hume",1007,
"810311516","Hume",168,
"810319999","Hume",159,
"810321517","Kowen",14,
"810331507","Majura",627,
"810331509","Majura",3236,
"810331510","Majura",1238,
"810331511","Majura",198,
"810331512","Majura",539,
"810331514","Majura",1085,
"810339999","Majura",46,
"810341401","Amaroo",353,
"810351445","Bonner",110,
"810361450","Casey",89,
"810371455","Crace",125,
"810381460","Forde",217,
"810391465","Franklin",133,
"810401404","Gungahlin",507,
"810401405","Gungahlin",1297,
"810401406","Gungahlin",447,
"810409999","Gungahlin",95,
"810411441","Gungahlin - East",50,
"810421440","Gungahlin - West",4,
"810431408","Hall",242,
"810441407","Harrison",350,
"810451411","Mitchell",2134,
"810451412","Mitchell",1677,
"810451421","Mitchell",32,
"810459999","Mitchell",200,
"810461414","Ngunnawal",377,
"810471416","Nicholls",559,
"810471417","Nicholls",382,
"810481418","Palmerston",223,
"810491101","Acton",5080,
"810491102","Acton",341,
"810491160","Acton",865,
"810501103","Ainslie",773,
"810511106","Braddon",949,
"810511107","Braddon",2640,
"810519999","Braddon",107,
"810521108","Campbell",625,
"810521109","Campbell",542,
"810521110","Campbell",2550,
"810521142","Campbell",6730,
"810521162","Campbell",3,
"810531111","Civic",8059,
"810531112","Civic",9668,
"810531113","Civic",8388,
"810531114","Civic",4394,
"810531115","Civic",429,
"810531116","Civic",285,
"810539999","Civic",580,
"810541120","Dickson",1840,
"810541121","Dickson",377,
"810541165","Dickson",1006,
"810541166","Dickson",159,
"810549999","Dickson",103,
"810551122","Downer",258,
"810561129","Hackett",252,
"810571131","Lyneham",251,
"810571132","Lyneham",507,
"810571133","Lyneham",711,
"810571171","Lyneham",283,
"810579999","Lyneham",105,
"810581136","O'Connor (ACT)",687,
"810591139","Reid",204,
"810591141","Reid",936,
"810601143","Turner",169,
"810601144","Turner",1261,
"810601145","Turner",257,
"810609999","Turner",10,
"810611146","Watson",552,
"810611147","Watson",403,
"810619999","Watson",16,
"810621117","Deakin",1136,
"810621118","Deakin",217,
"810621119","Deakin",567,
"810621163","Deakin",2031,
"810621164","Deakin",498,
"810621174","Deakin",330,
"810629999","Deakin",73,
"810631123","Forrest",421,
"810631172","Forrest",1342,
"810639999","Forrest",37,
"810641127","Griffith (ACT)",1477,
"810641128","Griffith (ACT)",1310,
"810649999","Griffith (ACT)",46,
"810651104","Kingston - Barton",5855,
"810651105","Kingston - Barton",4130,
"810651130","Kingston - Barton",1170,
"810651169","Kingston - Barton",489,
"810659999","Kingston - Barton",173,
"810671134","Narrabundah",539,
"810671135","Narrabundah",362,
"810679999","Narrabundah",51,
"810681137","Parkes (ACT)",1916,
"810681138","Parkes (ACT)",4839,
"810691140","Red Hill (ACT)",839,
"810701148","Yarralumla",587,
"810701149","Yarralumla",183,
"810701150","Yarralumla",790,
"810709999","Yarralumla",16,
"810711301","Banks",136,
"810721302","Bonython",153,
"810731303","Calwell",341,
"810731304","Calwell",261,
"810739999","Calwell",13,
"810741305","Chisholm",210,
"810741306","Chisholm",197,
"810749999","Chisholm",10,
"810751307","Conder",757,
"810761309","Fadden",247,
"810771310","Gilmore",132,
"810781311","Gordon (ACT)",307,
"810791312","Gowrie (ACT)",259,
"810801313","Greenway",1457,
"810801314","Greenway",1734,
"810801343","Greenway",1561,
"810801344","Greenway",1963,
"810801345","Greenway",1876,
"810801346","Greenway",87,
"810809999","Greenway",1004,
"810811316","Isabella Plains",305,
"810821317","Kambah",479,
"810821318","Kambah",122,
"810821319","Kambah",328,
"810821320","Kambah",232,
"810829999","Kambah",41,
"810831321","Macarthur",51,
"810841322","Monash",367,
"810861323","Oxley (ACT)",54,
"810871324","Richardson",169,
"810881325","Theodore",130,
"810891340","Tuggeranong",81,
"810901326","Wanniassa",900,
"810901327","Wanniassa",1023,
"810909999","Wanniassa",8,
"810911251","Chapman",280,
"810921252","Duffy",172,
"810931253","Fisher",151,
"810941254","Holder",547,
"810951255","Rivett",196,
"810961256","Stirling",266,
"810971257","Waramanga",341,
"810981258","Weston",372,
"810981259","Weston",998,
"810981260","Weston",210,
"810989999","Weston",31,
"810991201","Chifley",180,
"811001202","Curtin",276,
